Name,Temperature,Humidity
June-15-2023T13-30-11,56.732,21.9
June-15-2023T13-33-51,56.893,21.656
June-15-2023T13-37-30,56.829,21.687
June-15-2023T13-41-09,56.786,21.565
June-15-2023T13-44-48,56.786,21.519
June-15-2023T13-48-27,56.561,21.679
June-15-2023T13-52-06,56.604,21.847
June-15-2023T13-55-46,56.539,22.083
June-15-2023T13-59-25,56.947,22.038
June-15-2023T14-03-04,56.936,22.121
June-15-2023T14-06-43,57.762,21.755
June-15-2023T14-10-22,57.987,21.854
June-15-2023T14-14-01,58.234,22.076
June-15-2023T14-17-41,58.524,22.099
June-15-2023T14-21-20,58.631,22.106
June-15-2023T14-24-59,58.041,22.656
June-15-2023T14-28-38,58.105,22.709
June-15-2023T14-32-17,58.298,22.511
June-15-2023T14-35-56,58.137,22.663
June-15-2023T14-39-36,57.719,22.9
June-15-2023T14-43-15,57.526,22.747
June-15-2023T14-46-54,57.473,22.793
June-15-2023T14-50-33,57.848,22.472
June-15-2023T14-54-12,57.558,22.663
June-15-2023T14-57-51,56.84,23.083
June-15-2023T15-01-31,56.443,23.35
June-15-2023T15-05-10,56.239,23.548
June-15-2023T15-08-49,55.735,24.021
June-15-2023T15-12-28,56.11,23.67
June-15-2023T15-16-07,56.089,23.586
June-15-2023T15-19-46,55.971,23.655
June-15-2023T15-23-26,56.346,23.38
June-15-2023T15-27-05,56.379,23.228
June-15-2023T15-30-44,55.328,24.029
June-15-2023T15-34-23,54.587,24.693
June-15-2023T15-38-02,54.523,24.807
June-15-2023T15-41-41,54.695,24.708
June-15-2023T15-45-21,54.866,24.494
June-15-2023T15-49-00,54.705,24.662
June-15-2023T15-52-39,54.148,25.036
June-15-2023T15-56-18,54.191,25.036
June-15-2023T15-59-57,53.322,25.768
June-15-2023T16-03-36,52.871,26.165
June-15-2023T16-07-16,52.657,26.356
June-15-2023T16-10-55,52.518,26.47
June-15-2023T16-14-34,52.035,26.936
June-15-2023T16-18-13,52.013,26.936
June-15-2023T16-21-52,49.665,29.331
June-15-2023T16-25-31,49.182,29.827
June-15-2023T16-29-11,48.689,30.407
June-15-2023T16-32-50,48.517,30.598
June-15-2023T16-36-29,48.335,30.834
June-15-2023T16-40-08,48.045,31.178
June-15-2023T16-43-47,47.798,31.414
June-15-2023T16-47-27,46.887,32.566
June-15-2023T16-51-06,45.192,34.931
June-15-2023T16-54-45,43.412,37.296
June-15-2023T16-58-24,42.2,38.914
June-15-2023T17-02-03,41.514,39.883
June-15-2023T17-05-42,41.16,40.409
June-15-2023T17-09-22,40.967,40.63
June-15-2023T17-13-01,40.559,41.248
June-15-2023T17-16-40,40.151,41.935
June-15-2023T17-20-19,39.873,42.377
June-15-2023T17-23-58,39.605,42.751
June-15-2023T17-27-38,39.218,43.362
June-15-2023T17-31-17,39.122,43.568
June-15-2023T17-34-56,39.047,43.613
June-15-2023T17-38-35,38.768,44.041
June-15-2023T17-42-14,38.618,44.331
June-15-2023T17-45-54,38.435,44.758
June-15-2023T17-49-33,38.35,44.941
June-15-2023T17-53-12,38.275,45.078
June-15-2023T17-56-51,38.039,45.582
June-15-2023T18-00-30,37.706,46.261
June-15-2023T18-04-10,37.459,46.856
June-15-2023T18-07-49,37.299,47.245
June-15-2023T18-11-29,37.202,47.527
June-15-2023T18-15-08,37.041,47.916
June-15-2023T18-18-47,36.87,48.336
June-15-2023T18-22-27,36.752,48.679
June-15-2023T18-26-06,36.634,48.962
June-15-2023T18-29-45,36.301,49.809
June-15-2023T18-33-24,36.108,50.327
June-15-2023T18-37-03,35.979,50.709
June-15-2023T18-40-43,35.904,50.884
June-15-2023T18-44-22,35.765,51.266
June-15-2023T18-48-01,35.626,51.792
June-15-2023T18-51-40,35.368,52.38
June-15-2023T18-55-19,35.186,52.837
June-15-2023T18-58-59,35.025,53.257
June-15-2023T19-02-38,34.778,53.776
June-15-2023T19-06-17,34.671,54.104
June-15-2023T19-09-56,34.564,54.371
June-15-2023T19-13-34,34.446,54.668
June-15-2023T19-17-13,34.328,55.027
June-15-2023T19-20-51,34.221,55.325
June-15-2023T19-24-32,34.092,55.63
June-15-2023T19-28-11,34.027,55.866
June-15-2023T19-31-49,34.006,55.958
June-15-2023T19-35-27,33.974,56.164
June-15-2023T19-39-06,33.813,56.583
June-15-2023T19-42-44,33.738,56.82
June-15-2023T19-46-23,33.663,57.056
June-15-2023T19-50-01,33.62,57.148
June-15-2023T19-53-39,33.556,57.323
June-15-2023T19-57-18,33.502,57.529
June-15-2023T20-00-56,33.384,57.858
June-15-2023T20-04-34,33.352,57.98
June-15-2023T20-08-13,33.277,58.155
June-15-2023T20-11-51,33.18,58.453
June-15-2023T20-15-30,33.116,58.689
June-15-2023T20-19-08,33.127,58.659
June-15-2023T20-22-46,33.169,58.659
June-15-2023T20-26-25,33.159,58.72
June-15-2023T20-30-03,33.062,59.017
June-15-2023T20-33-42,32.987,59.254
June-15-2023T20-37-20,32.976,59.429
June-15-2023T20-40-58,32.976,59.49
June-15-2023T20-44-37,32.976,59.582
June-15-2023T20-48-15,32.923,59.849
June-15-2023T20-51-54,32.869,60.116
June-15-2023T20-55-32,32.869,60.261
June-15-2023T20-59-10,32.773,60.612
June-15-2023T21-02-49,32.719,60.879
June-15-2023T21-06-27,32.655,61.207
June-15-2023T21-10-06,32.601,61.443
June-15-2023T21-13-44,32.665,61.321
June-15-2023T21-17-22,32.622,61.596
June-15-2023T21-21-01,32.515,61.977
June-15-2023T21-24-39,32.462,62.298
June-15-2023T21-28-17,32.344,62.74
June-15-2023T21-31-56,32.279,63.038
June-15-2023T21-35-34,32.29,63.152
June-15-2023T21-39-13,32.204,63.48
June-15-2023T21-42-51,32.065,63.923
June-15-2023T21-46-29,31.979,64.304
June-15-2023T21-50-08,31.893,64.632
June-15-2023T21-53-46,31.85,64.869
June-15-2023T21-57-25,31.872,64.869
June-15-2023T22-01-03,31.882,64.869
June-15-2023T22-04-41,31.861,65.044
June-15-2023T22-08-20,31.797,65.311
June-15-2023T22-11-58,31.786,65.449
June-15-2023T22-15-36,31.711,65.807
June-15-2023T22-19-15,31.657,66.158
June-15-2023T22-22-53,31.571,66.456
June-15-2023T22-26-32,31.646,66.311
June-15-2023T22-30-10,31.711,66.158
June-15-2023T22-33-48,31.668,66.341
June-15-2023T22-37-27,31.646,66.372
June-15-2023T22-41-05,31.571,66.662
June-15-2023T22-44-43,31.421,67.143
June-15-2023T22-48-22,31.4,67.287
June-15-2023T22-52-00,31.443,67.204
June-15-2023T22-55-39,31.507,67.066
June-15-2023T22-59-17,31.529,67.043
June-15-2023T23-02-55,31.539,67.043
June-15-2023T23-06-34,31.421,67.455
June-15-2023T23-10-12,31.271,67.921
June-15-2023T23-13-51,31.196,68.165
June-15-2023T23-17-29,31.11,68.501
June-15-2023T23-21-07,31.035,68.661
June-15-2023T23-24-46,30.939,68.989
June-15-2023T23-28-24,30.821,69.424
June-15-2023T23-32-03,30.746,69.706
June-15-2023T23-35-41,30.724,69.782
June-15-2023T23-39-19,30.681,70.004
June-15-2023T23-42-58,30.606,70.225
June-15-2023T23-46-36,30.585,70.37
June-15-2023T23-50-14,30.563,70.507
June-15-2023T23-53-53,30.52,70.637
June-15-2023T23-57-31,30.477,70.774
June-16-2023T00-01-10,30.424,70.965
June-16-2023T00-04-48,30.381,71.095
June-16-2023T00-08-26,30.327,71.239
June-16-2023T00-12-05,30.242,71.514
June-16-2023T00-15-43,30.231,71.705
June-16-2023T00-19-22,30.242,71.514
June-16-2023T00-23-00,30.242,71.514
June-16-2023T00-26-38,30.242,71.568
June-16-2023T00-30-17,30.231,71.598
June-16-2023T00-33-55,30.242,71.514
June-16-2023T00-37-33,30.274,71.346
June-16-2023T00-41-12,30.37,71.018
June-16-2023T00-44-51,30.37,71.072
June-16-2023T00-48-29,30.242,71.43
June-16-2023T00-52-07,30.263,71.461
June-16-2023T00-55-46,30.381,71.125
June-16-2023T00-59-24,30.456,70.889
June-16-2023T01-03-02,30.402,71.018
June-16-2023T01-06-41,30.37,71.156
June-16-2023T01-10-19,30.424,70.965
June-16-2023T01-13-58,30.392,70.934
June-16-2023T01-17-36,30.359,70.988
June-16-2023T01-21-14,30.359,70.904
June-16-2023T01-24-53,30.242,71.156
June-16-2023T01-28-31,30.199,71.369
June-16-2023T01-32-10,30.048,71.796
June-16-2023T01-35-48,29.952,72.132
June-16-2023T01-39-26,29.845,72.453
June-16-2023T01-43-05,29.791,72.643
June-16-2023T01-46-43,29.748,72.865
June-16-2023T01-50-22,29.737,72.926
June-16-2023T01-54-00,29.695,73.025
June-16-2023T01-57-38,29.737,72.948
June-16-2023T02-01-17,29.748,72.926
June-16-2023T02-04-55,29.641,73.193
June-16-2023T02-08-34,29.577,73.467
June-16-2023T02-12-12,29.469,73.841
June-16-2023T02-15-50,29.416,74.009
June-16-2023T02-19-29,29.448,73.986
June-16-2023T02-23-07,29.609,73.467
June-16-2023T02-26-45,29.78,72.926
June-16-2023T02-30-24,29.845,72.674
June-16-2023T02-34-02,29.791,72.926
June-16-2023T02-37-41,29.748,73.063
June-16-2023T02-41-19,29.705,73.223
June-16-2023T02-44-57,29.705,73.246
June-16-2023T02-48-36,29.587,73.582
June-16-2023T02-52-14,29.437,74.093
June-16-2023T02-55-53,29.33,74.467
June-16-2023T02-59-31,29.33,74.497
June-16-2023T03-03-09,29.383,74.245
June-16-2023T03-06-48,29.394,74.23
June-16-2023T03-10-26,29.416,74.123
June-16-2023T03-14-05,29.437,74.009
June-16-2023T03-17-43,29.459,73.902
June-16-2023T03-21-21,29.469,73.841
June-16-2023T03-25-00,29.437,73.925
June-16-2023T03-28-38,29.383,74.001
June-16-2023T03-32-17,29.341,74.139
June-16-2023T03-35-55,29.244,74.444
June-16-2023T03-39-33,29.115,74.924
June-16-2023T03-43-12,28.987,75.352
June-16-2023T03-46-50,28.933,75.604
June-16-2023T03-50-29,28.997,75.352
June-16-2023T03-54-07,28.965,75.352
