Image, TS, Inference, Score, Temperature, Humidity
clipped_image_June-14-2023T21-21-53.ppm, June-14-2023T21-21-53,0,0.832,30.617,66.463
clipped_image_June-14-2023T21-25-32.ppm, June-14-2023T21-25-32,0,0.871,30.585,66.525
clipped_image_June-14-2023T21-29-10.ppm, June-14-2023T21-29-10,0,0.8515,30.542,66.669
clipped_image_June-14-2023T21-32-49.ppm, June-14-2023T21-32-49,0,0.8359,30.499,66.868
clipped_image_June-14-2023T21-36-28.ppm, June-14-2023T21-36-28,0,0.8398,30.477,66.868
clipped_image_June-14-2023T21-40-06.ppm, June-14-2023T21-40-06,0,0.8359,30.402,66.921
clipped_image_June-14-2023T21-43-45.ppm, June-14-2023T21-43-45,0,0.8515,30.37,66.975
clipped_image_June-14-2023T21-47-23.ppm, June-14-2023T21-47-23,0,0.8359,30.306,67.219
clipped_image_June-14-2023T21-51-02.ppm, June-14-2023T21-51-02,0,0.8515,30.242,67.44
clipped_image_June-14-2023T21-54-40.ppm, June-14-2023T21-54-40,0,0.832,30.231,67.44
clipped_image_June-14-2023T21-58-19.ppm, June-14-2023T21-58-19,0,0.8085,30.166,67.631
clipped_image_June-14-2023T22-01-57.ppm, June-14-2023T22-01-57,0,0.871,30.102,67.883
clipped_image_June-14-2023T22-05-36.ppm, June-14-2023T22-05-36,0,0.8828,30.07,68.02
clipped_image_June-14-2023T22-09-14.ppm, June-14-2023T22-09-14,0,0.875,30.07,67.715
clipped_image_June-14-2023T22-12-53.ppm, June-14-2023T22-12-53,0,0.8554,29.984,68.203
clipped_image_June-14-2023T22-16-32.ppm, June-14-2023T22-16-32,0,0.8671,29.909,68.401
clipped_image_June-14-2023T22-20-10.ppm, June-14-2023T22-20-10,0,0.8515,29.855,68.638
clipped_image_June-14-2023T22-23-49.ppm, June-14-2023T22-23-49,0,0.8476,29.78,68.775
clipped_image_June-14-2023T22-27-27.ppm, June-14-2023T22-27-27,0,0.8906,29.716,68.996
clipped_image_June-14-2023T22-31-06.ppm, June-14-2023T22-31-06,0,0.9296,29.662,69.019
clipped_image_June-14-2023T22-34-44.ppm, June-14-2023T22-34-44,0,0.9335,29.609,69.378
clipped_image_June-14-2023T22-38-23.ppm, June-14-2023T22-38-23,0,0.8945,29.566,69.492
clipped_image_June-14-2023T22-42-01.ppm, June-14-2023T22-42-01,0,0.8281,29.405,70.011
clipped_image_June-14-2023T22-45-40.ppm, June-14-2023T22-45-40,0,0.8593,29.287,70.385
clipped_image_June-14-2023T22-49-18.ppm, June-14-2023T22-49-18,0,0.8242,29.201,70.606
clipped_image_June-14-2023T22-52-57.ppm, June-14-2023T22-52-57,0,0.8359,29.094,71.011
clipped_image_June-14-2023T22-56-36.ppm, June-14-2023T22-56-36,0,0.8515,29.04,71.171
clipped_image_June-14-2023T23-00-14.ppm, June-14-2023T23-00-14,0,0.8828,29.008,71.224
clipped_image_June-14-2023T23-03-53.ppm, June-14-2023T23-03-53,0,0.8242,28.944,71.278
clipped_image_June-14-2023T23-07-31.ppm, June-14-2023T23-07-31,0,0.8789,28.858,71.69
clipped_image_June-14-2023T23-11-10.ppm, June-14-2023T23-11-10,0,0.871,28.794,71.743
clipped_image_June-14-2023T23-14-48.ppm, June-14-2023T23-14-48,0,0.8437,28.74,71.85
clipped_image_June-14-2023T23-18-27.ppm, June-14-2023T23-18-27,0,0.875,28.643,72.109
clipped_image_June-14-2023T23-22-05.ppm, June-14-2023T23-22-05,0,0.832,28.547,72.361
clipped_image_June-14-2023T23-25-44.ppm, June-14-2023T23-25-44,0,0.8242,28.44,72.765
clipped_image_June-14-2023T23-29-23.ppm, June-14-2023T23-29-23,0,0.8125,28.365,73.01
clipped_image_June-14-2023T23-33-01.ppm, June-14-2023T23-33-01,0,0.8398,28.322,73.109
clipped_image_June-14-2023T23-36-40.ppm, June-14-2023T23-36-40,0,0.875,28.29,73.055
clipped_image_June-14-2023T23-40-18.ppm, June-14-2023T23-40-18,0,0.8632,28.236,73.33
clipped_image_June-14-2023T23-43-57.ppm, June-14-2023T23-43-57,0,0.8554,28.204,73.467
clipped_image_June-14-2023T23-47-35.ppm, June-14-2023T23-47-35,0,0.8554,28.182,73.498
clipped_image_June-14-2023T23-51-14.ppm, June-14-2023T23-51-14,0,0.8281,28.064,73.925
clipped_image_June-14-2023T23-54-52.ppm, June-14-2023T23-54-52,0,0.8203,27.989,74.162
clipped_image_June-14-2023T23-58-31.ppm, June-14-2023T23-58-31,0,0.8085,27.936,74.215
clipped_image_June-15-2023T00-02-09.ppm, June-15-2023T00-02-09,0,0.8398,27.839,74.406
clipped_image_June-15-2023T00-05-48.ppm, June-15-2023T00-05-48,0,0.8515,27.796,74.619
